"model_id","name","north","south","east","west","lat","lng","scale","rotate","gps_mapping","color","zone_id"
"1","CSE Front Entrance","47.654","47.6527","-122.305","-122.307","47.65344596173613","-122.3055338859554","3.8978742687692685","4.047809034416984","{'./images/cse/IMG_0098.jpg': (47.65363273187265,-122.30541668224748),'./images/cse/take2-10.jpg': (47.653515739687435,-122.30516044961489),'./images/cse/take2-6.jpg': (47.65366015797797,-122.30529944020162),'/projects/grail/grail27/photocity27/bulk_files/images/9420.jpg': (47.65363614303838,-122.30522159649921),'/projects/grail/grail27/photocity27/bulk_files/images/10389.jpg': (47.65381965449866,-122.30520210688059),'/projects/grail/grail27/photocity27/bulk_files/images/12038.jpg': (47.65352245317436,-122.30519578888862),'/projects/grail/grail27/photocity27/bulk_files/images/12938.jpg': (47.65349636633215,-122.30544824556189),'/projects/grail/grail27/photocity27/bulk_files/images/13499.jpg': (47.65358883944397,-122.30501837542926),'/projects/grail/grail27/photocity27/bulk_files/images/14808.jpg': (47.65372894646423,-122.30564644782389),'/projects/grail/grail27/photocity27/bulk_files/images/15810.jpg': (47.65377280141349,-122.30555416587848),'/projects/grail/grail27/photocity27/bulk_files/images/18745.jpg': (47.65377468329978,-122.30521035534254),'/projects/grail/grail27/photocity27/bulk_files/images/18829.jpg': (47.653645345104344,-122.30524475246436),'/projects/grail/grail27/photocity27/bulk_files/images/18927.jpg': (47.65315933709454,-122.30480636746944),'/projects/grail/grail27/photocity27/bulk_files/images/18890.jpg': (47.65324683628295,-122.30503362236242),'/projects/grail/grail27/photocity27/bulk_files/images/19325.jpg': (47.65372944642379,-122.3056225679419),'/projects/grail/grail27/photocity27/bulk_files/images/19353.jpg': (47.65388001362743,-122.30587193033334),'/projects/grail/grail27/photocity27/bulk_files/images/19419.jpg': (47.65349445104938,-122.30544696615037),'/projects/grail/grail27/photocity27/bulk_files/images/19456.jpg': (47.653534485460504,-122.30541858588967),'/projects/grail/grail27/photocity27/bulk_files/images/20752.jpg': (47.653831324094746,-122.30597567772205),'/projects/grail/grail27/photocity27/bulk_files/images/21059.jpg': (47.65290349793128,-122.3048543219246),'/projects/grail/grail27/photocity27/bulk_files/images/21079.jpg': (47.65290195928212,-122.30529402254159),'/projects/grail/grail27/photocity27/bulk_files/images/21110.jpg': (47.6534735294454,-122.3053588691895),'/projects/grail/grail27/photocity27/bulk_files/images/21329.jpg': (47.653139134816584,-122.30465102221282),'/projects/grail/grail27/photocity27/bulk_files/images/21356.jpg': (47.65324151881362,-122.30513056891041),'/projects/grail/grail27/photocity27/bulk_files/images/19323.jpg': (47.65391353740464,-122.30603853032675),'/projects/grail/grail27/photocity27/bulk_files/images/18729.jpg': (47.65392692166784,-122.3059159740191),'/projects/grail/grail27/photocity27/bulk_files/images/19102.jpg': (47.65295030912858,-122.30525195018093),'/projects/grail/grail27/photocity27/bulk_files/images/29413.jpg': (47.65324635368162,-122.30506712887247),}","6F008D","16"
"2","Electrical Engineering","47.654","47.6527","-122.305","-122.307","47.6537386581783","-122.306542396545","0","0",,"008D5E","16"
"3","James J. Hill Statue","47.6529","47.65256","-122.3049","-122.3057","47.6528063609613","-122.305405139923","0","0",,"DC5C00","16"
"5","Southeast Corner of CSE","47.654","47.6527","-122.305","-122.307","47.6530448571826","-122.305727005005","0","0",,"E9EC00","16"
"6","Fountain-facing Corner of EE","47.655","47.6527","-122.305","-122.308","47.6535507546522","-122.307143211365","0","0",,"EC0062","16"
"39","Denny Hall","47.6588249206543","47.65762710571289","-122.30790710449219","-122.30937194824219","47.658226013183594","-122.30863952636719","0","0",,"ff0000","16"
"36","Hing Hay Park","47.5988939562988","47.5983882629395","-122.324507683105","-122.326559887695","47.59860610961914","-122.32546997070312","0","0",,"ff0000","3"
"10","Commodore Apartments","47.6564704099956","47.6551840473137","-122.311670780182","-122.313344478607","47.6557332846951","-122.312250137329","0","0",,"993300","16"
"11","Allen Library","47.6558633663866","47.6531315828111","-122.305941581726","-122.308773994446","47.6557332846951","-122.306756973267","0","0",,"990066","16"
"12","Engineering Library","47.6550033758597","47.6530737657414","-122.304010391235","-122.305684089661","47.6544758116364","-122.304718494415","0","0",,"6699FF","16"
