"image_id","player_id","lat","lng","name"
"145766","647","38.88875572755459","-77.02495542717213","Arts and Industries Building"
"145767","647","38.888751562820694","-77.02494493826765","Arts and Industries Building"
"145768","647","38.88868537673265","-77.02495940369496","Arts and Industries Building"
"145769","647","38.888663314408724","-77.02494980369727","Arts and Industries Building"
"145770","647","38.88863817168871","-77.02489587451134","Arts and Industries Building"
"145771","647","38.88862447686042","-77.02485480440339","Arts and Industries Building"
"145772","647","38.88862244429331","-77.0247605229927","Arts and Industries Building"
"145773","647","38.888634086326455","-77.02464316734059","Arts and Industries Building"
"145774","647","38.8886346326585","-77.02464321896878","Arts and Industries Building"
"145775","647","38.888673632591264","-77.02449203009944","Arts and Industries Building"
"145776","647","38.88867406727923","-77.024491067461","Arts and Industries Building"
"145777","647","38.88867323048833","-77.02449066159534","Arts and Industries Building"
"145778","647","38.88867362581522","-77.02449314434307","Arts and Industries Building"
"145779","647","38.888664680666196","-77.02442821744269","Arts and Industries Building"
"145780","647","38.88866320581252","-77.0244270187746","Arts and Industries Building"
"145781","647","38.88865135907889","-77.02439124523265","Arts and Industries Building"
"145782","647","38.88864553804405","-77.02433979782022","Arts and Industries Building"
"145783","647","38.88863176684903","-77.02427685672806","Arts and Industries Building"
"145786","647","38.88866956443825","-77.02427603014955","Arts and Industries Building"
"145787","647","38.88866418148126","-77.0242626631627","Arts and Industries Building"
"145788","647","38.88868161172545","-77.02376328226983","Arts and Industries Building"
"145800","647","38.88865400849311","-77.0246634353445","Arts and Industries Building"
"145801","647","38.88870537542867","-77.0246772267124","Arts and Industries Building"
"145802","647","38.88872171287344","-77.02453127969902","Arts and Industries Building"
"145803","647","38.88872206570044","-77.02453122240652","Arts and Industries Building"
"145804","647","38.88873397302393","-77.02445141562056","Arts and Industries Building"
"145805","647","38.88873131704925","-77.02445121189514","Arts and Industries Building"
"145806","647","38.88872046469996","-77.02446047234027","Arts and Industries Building"
"145807","647","38.88872295378573","-77.02444604338368","Arts and Industries Building"
"145808","647","38.888745345204974","-77.0242913248261","Arts and Industries Building"
"145810","647","38.888741549513604","-77.02414806676593","Arts and Industries Building"
"145811","647","38.88868291406105","-77.02389458394852","Arts and Industries Building"
"145812","647","38.88867705174271","-77.02392459625068","Arts and Industries Building"
"145813","647","38.8886827775694","-77.02394154129304","Arts and Industries Building"
"145814","647","38.8886778795663","-77.02394387892015","Arts and Industries Building"
"145815","647","38.888639797387775","-77.02391479648198","Arts and Industries Building"
"145830","647","38.8886656905822","-77.02439750582612","Arts and Industries Building"
"147160","691","38.888672158759256","-77.02453842677127","Arts and Industries Building"
"147161","691","38.88867229878702","-77.02453852094874","Arts and Industries Building"
"147282","678","38.88879449842933","-77.02432607034503","Arts and Industries Building"
"147283","678","38.88882249989497","-77.02460761896788","Arts and Industries Building"
"147284","678","38.88879191276047","-77.02444978843904","Arts and Industries Building"
"147285","678","38.88881027451245","-77.02452168595342","Arts and Industries Building"
"147286","678","38.88879065596813","-77.02445030421434","Arts and Industries Building"
"147320","678","38.888782637408745","-77.02424857902858","Arts and Industries Building"
"147327","678","38.888768393296715","-77.02420934061826","Arts and Industries Building"
"147340","678","38.88880871968982","-77.024522603203","Arts and Industries Building"
"147364","678","38.88878151505015","-77.02424989500335","Arts and Industries Building"
"148049","3","38.888862721358315","-77.02485578183708","Arts and Industries Building"
"148050","3","38.88891453267142","-77.02504396340615","Arts and Industries Building"
"148051","3","38.888885718115404","-77.0248994715592","Arts and Industries Building"
"148052","3","38.88884648381827","-77.02469468102728","Arts and Industries Building"
"148053","3","38.88881584831293","-77.02453283908228","Arts and Industries Building"
"148054","3","38.88876805353457","-77.0242980517953","Arts and Industries Building"
"148057","3","38.889006261960425","-77.02330599584522","Arts and Industries Building"
"148058","3","38.888888081637724","-77.02380831541579","Arts and Industries Building"
"148059","3","38.8889779058991","-77.02345746231218","Arts and Industries Building"
"148060","3","38.888964889864134","-77.02347318466259","Arts and Industries Building"
"148061","3","38.88890266062351","-77.02346035015293","Arts and Industries Building"
"148062","3","38.888860445519086","-77.02340313556613","Arts and Industries Building"
"148063","3","38.88885353037742","-77.02338987203291","Arts and Industries Building"
"148064","3","38.888825127923276","-77.02327567140915","Arts and Industries Building"
"148066","3","38.88882128916378","-77.0232327410443","Arts and Industries Building"
"148067","3","38.88881976159654","-77.02308030358267","Arts and Industries Building"
"148068","3","38.88881287109178","-77.02308421409907","Arts and Industries Building"
"148069","3","38.88881146749961","-77.02308359034424","Arts and Industries Building"
"148070","3","38.888813353457635","-77.02307977286989","Arts and Industries Building"
"148111","3","38.88877058893112","-77.02471380247593","Arts and Industries Building"
"148115","3","38.893367515964336","-77.04516926241429","Arts and Industries Building"
"148116","3","38.88901706473961","-77.02557724445639","Arts and Industries Building"
"148287","704","38.888824038415294","-77.0244803138962","Arts and Industries Building"
"148290","704","38.888815319734256","-77.0244005304127","Arts and Industries Building"
"148294","704","38.888782424109884","-77.02446065405437","Arts and Industries Building"
"148295","704","38.888805780420896","-77.02426095244445","Arts and Industries Building"
"151471","1090","38.888834409189634","-77.0244919224699","Arts and Industries Building"
"151472","1090","38.88875832719377","-77.02487621438685","Arts and Industries Building"
"151473","1090","38.888842105953174","-77.02480228171608","Arts and Industries Building"
"151474","1090","38.88875697270073","-77.02486922869747","Arts and Industries Building"
"151475","1090","38.888751286540874","-77.02447673756515","Arts and Industries Building"
"151478","1090","38.88873582116963","-77.0239950257392","Arts and Industries Building"
"151479","1090","38.88873006212382","-77.02451775502058","Arts and Industries Building"
"151480","1090","38.88882692661942","-77.024361781161","Arts and Industries Building"
"151482","1090","38.889163555602245","-77.0252388649081","Arts and Industries Building"
"151483","1090","38.888786112209786","-77.02438227569624","Arts and Industries Building"
"151485","1090","38.88876539845167","-77.0247950309747","Arts and Industries Building"
"151486","1090","38.888710295129435","-77.02452520643226","Arts and Industries Building"
"151507","1090","38.88866251080622","-77.02470290825305","Arts and Industries Building"
"151528","1090","38.88867214213358","-77.02469342015044","Arts and Industries Building"
"151531","1090","38.88895997986568","-77.02487431754732","Arts and Industries Building"
"151532","1090","38.88885512360994","-77.02499130263615","Arts and Industries Building"
"151533","1090","38.889172193023526","-77.02484871964582","Arts and Industries Building"
"151534","1090","38.88907376968171","-77.02481126896762","Arts and Industries Building"
"151535","1090","38.8887518058472","-77.02508927898073","Arts and Industries Building"
"151484","1090","38.888810215676486","-77.0250132734087","Arts and Industries Building"
"151481","1090","38.88910192635364","-77.02521663176377","Arts and Industries Building"
"152628","1090","0","0","Arts and Industries Building"
"152631","1090","0","0","Arts and Industries Building"
"152632","1090","0","0","Arts and Industries Building"
"152634","1090","0","0","Arts and Industries Building"
"152635","1090","0","0","Arts and Industries Building"
"152637","1090","0","0","Arts and Industries Building"
"152638","1090","0","0","Arts and Industries Building"
"152639","1090","0","0","Arts and Industries Building"
"152640","1090","0","0","Arts and Industries Building"
"152641","1090","0","0","Arts and Industries Building"
"152642","1090","0","0","Arts and Industries Building"
"152648","1090","0","0","Arts and Industries Building"
"152651","1090","0","0","Arts and Industries Building"
"152652","1090","0","0","Arts and Industries Building"
"152653","1090","0","0","Arts and Industries Building"
"152656","1090","0","0","Arts and Industries Building"
"152657","1090","0","0","Arts and Industries Building"
"152659","1090","0","0","Arts and Industries Building"
"152661","1090","0","0","Arts and Industries Building"
"152662","1090","0","0","Arts and Industries Building"
"152663","1090","0","0","Arts and Industries Building"
"152664","1090","0","0","Arts and Industries Building"
"152665","1090","0","0","Arts and Industries Building"
"152666","1090","0","0","Arts and Industries Building"
"152667","1090","0","0","Arts and Industries Building"
"152671","1090","0","0","Arts and Industries Building"
"152672","1090","0","0","Arts and Industries Building"
"152673","1090","0","0","Arts and Industries Building"
"152674","1090","0","0","Arts and Industries Building"
"152675","1090","0","0","Arts and Industries Building"
"152677","1090","0","0","Arts and Industries Building"
"152679","1090","0","0","Arts and Industries Building"
"152681","1090","0","0","Arts and Industries Building"
"152682","1090","0","0","Arts and Industries Building"
"152683","1090","0","0","Arts and Industries Building"
"152685","1090","0","0","Arts and Industries Building"
"152686","1090","0","0","Arts and Industries Building"
"152687","1090","0","0","Arts and Industries Building"
"152688","1090","0","0","Arts and Industries Building"
"152689","1090","0","0","Arts and Industries Building"
"152690","1090","0","0","Arts and Industries Building"
"152691","1090","0","0","Arts and Industries Building"
"152693","1090","0","0","Arts and Industries Building"
"152694","1090","0","0","Arts and Industries Building"
"152700","1090","0","0","Arts and Industries Building"
"152701","1090","0","0","Arts and Industries Building"
"152702","1090","0","0","Arts and Industries Building"
"152705","1090","0","0","Arts and Industries Building"
"152706","1090","0","0","Arts and Industries Building"
"152707","1090","0","0","Arts and Industries Building"
"152709","1090","0","0","Arts and Industries Building"
"152710","1090","0","0","Arts and Industries Building"
"152712","1090","0","0","Arts and Industries Building"
"152714","1090","0","0","Arts and Industries Building"
"152715","1090","0","0","Arts and Industries Building"
"152719","1090","0","0","Arts and Industries Building"
"152720","1090","0","0","Arts and Industries Building"
"152721","1090","0","0","Arts and Industries Building"
"152722","1090","0","0","Arts and Industries Building"
"152724","1090","0","0","Arts and Industries Building"
"152725","1090","0","0","Arts and Industries Building"
"152726","1090","0","0","Arts and Industries Building"
"152727","1090","0","0","Arts and Industries Building"
"152729","1090","0","0","Arts and Industries Building"
"152730","1090","0","0","Arts and Industries Building"
