"flag_id","model_id","latitude","longitude","omit","winning_team_id","winning_player_id","team1","team2","team3","team4","disputed","snapshot_id","collectable","collector"
"59","22","42.448315498707764","-76.4821174576611","0","3","0","9743","0","24510","1448","0","0","0","0"
"60","22","42.44808341216281","-76.481997168579","0","3","0","140","0","5894","99","0","0","0","0"
"61","23","42.447452154414044","-76.48544794925759","0","3","0","1515","722","7382","1457","0","0","0","0"
"62","23","42.44757064880599","-76.48519296450922","0","3","0","1656","420","2042","206","0","0","0","0"
"63","23","42.447411891141385","-76.48524504763823","0","0","0","0","60","22","37","1","0","0","0"
"64","23","42.447527617825465","-76.48557338913209","0","3","0","2638","705","5095","2155","0","0","0","0"
"65","23","42.447648735140255","-76.48565241162977","0","2","0","658","697","96","204","1","0","0","0"
"66","24","42.4492704243297","-76.48528940932039","0","3","0","48","0","32250","0","0","0","0","0"
"67","24","42.449409560107654","-76.485277998004","0","3","0","41","0","16868","0","0","0","0","0"
"68","24","42.44919510444555","-76.48540654843839","0","3","0","0","0","39280","0","0","0","0","0"
"69","24","42.449434396064255","-76.4855240855115","0","3","0","0","0","3200","0","0","0","0","0"
"70","24","42.44956654306398","-76.48529722558979","0","3","0","25","0","22502","0","0","0","0","0"
"71","24","42.44934698815006","-76.48500889494912","0","0","0","0","0","26","0","1","0","0","0"
"72","24","42.44951505211169","-76.48510233916386","0","0","0","0","0","16","0","1","0","0","0"
"73","30","47.65457214665074","-122.30804991520053","0","4","0","0","393","15113","19477","0","0","0","0"
"74","30","47.65448318962362","-122.30794504609393","0","4","0","0","424","14738","26488","0","0","0","0"
"75","30","47.654702457770405","-122.30811476253187","0","3","0","0","132","16611","14151","0","0","0","0"
"76","30","47.65486443999345","-122.30822115280291","0","4","0","0","59","17292","17988","0","0","0","0"
"77","30","47.65497070883744","-122.30832941393754","0","4","0","0","249","17105","26883","0","0","0","0"
"78","30","47.65444488907661","-122.30813730839719","0","4","0","0","82","9492","11405","0","0","0","0"
"79","31","47.65580743788041","-122.30875623331308","0","2","0","8549","69415","34181","14797","0","0","0","0"
"80","31","47.655936505066244","-122.30871132557897","0","2","0","6105","32741","21326","13777","0","0","0","0"
"81","31","47.6558586376054","-122.30888309520962","0","2","0","601","8363","3430","592","0","0","0","0"
"82","31","47.65566757670859","-122.30879117754654","0","3","0","1925","6121","41260","14064","0","0","0","0"
"83","31","47.656071572263635","-122.30867650016562","0","4","0","427","74","8306","12095","0","0","0","0"
"84","31","47.65553721586106","-122.30874660604744","0","4","0","131","62","13068","37032","0","0","0","0"
"408","11","47.65545276526583","-122.30736305585573","0","2","0","0","6977","0","1199","0","11079","0","0"
"407","11","47.655256842810275","-122.3070518535977","0","2","0","0","1247","0","638","1","11079","0","0"
"406","10","47.655350915032756","-122.3122741624063","0","0","0","0","0","0","0","1","5075","0","0"
"405","6","47.6534954002761","-122.30746847330896","0","3","0","0","0","572","17","1","10528","0","0"
"404","5","47.653889731899945","-122.30633629193775","0","3","0","0","192","1370","631","1","8503","0","0"
"403","5","47.65355796031513","-122.30677254603556","0","3","0","2369","0","2382","201","0","8503","0","0"
"402","5","47.65310935299227","-122.3054201625848","0","4","0","0","0","354","2060","0","8503","0","0"
"401","32","42.44575310221899","-76.48393397272046","0","0","0","0","75","0","0","1","5963","0","0"
"400","32","42.44579593285105","-76.48366678805306","0","4","0","0","176","0","1014","1","5963","0","0"
"399","32","42.44556885880795","-76.48275781829145","0","4","0","0","13","0","156","1","5963","0","0"
"398","32","42.44530601384874","-76.48322218507448","0","0","0","0","0","0","0","1","5963","0","0"
"397","32","42.44552631903507","-76.48355100233988","0","0","0","0","53","0","0","1","5963","0","0"
"396","32","42.44565673023037","-76.48364808901157","0","4","0","0","261","0","853","1","5963","0","0"
"395","32","42.44595862245836","-76.4836918203054","0","4","0","0","11","0","241","1","5963","0","0"
"394","32","42.445561267356965","-76.48289631856248","0","4","0","0","23","0","302","1","5963","0","0"
"393","32","42.44565864142996","-76.4835118379936","0","2","0","41","135","0","98","1","5963","0","0"
"392","32","42.44552242265544","-76.48339874887294","0","0","0","0","11","0","0","1","5963","0","0"
"391","32","42.44567498620715","-76.48337021652038","0","0","0","16","40","0","65","1","5963","0","0"
"390","32","42.44553613090654","-76.48326363037262","0","0","0","0","11","0","0","1","5963","0","0"
"104","33","42.44893249950434","-76.4834460085722","0","4","0","0","0","276","279","1","0","0","0"
"105","33","42.44879050377455","-76.48344195872804","0","3","0","0","0","199","133","1","0","0","0"
"106","33","42.449042529012246","-76.48334150606945","0","3","0","0","0","616","371","1","0","0","0"
"107","33","42.448684362562176","-76.48326632143693","0","3","0","0","0","1470","20","1","0","0","0"
"108","33","42.449064454543425","-76.48347490797917","0","3","0","0","0","1386","527","1","0","0","0"
"109","33","42.44929599443312","-76.48346309099774","0","3","0","0","0","2603","363","0","0","0","0"
"110","33","42.449480640915205","-76.48328626941431","0","3","0","0","0","244","71","1","0","0","0"
"111","33","42.44918554843831","-76.48327997775803","0","3","0","0","0","928","22","1","0","0","0"
"112","33","42.44867168136948","-76.48308452065774","0","3","0","0","0","16786","255","0","0","0","0"
"113","33","42.44853727020417","-76.48306422811643","0","3","0","0","0","4550","221","0","0","0","0"
"114","33","42.44946091462039","-76.48347123208015","0","3","0","0","0","2483","190","0","0","0","0"
"115","33","42.44918316706615","-76.48354319870019","0","3","0","0","0","1524","191","1","0","0","0"
"116","33","42.44957161808827","-76.4831664811199","0","0","0","0","0","51","0","1","0","0","0"
"117","34","42.44712911734087","-76.48434686767472","0","4","0","249","192","2728","9280","0","0","0","0"
"118","34","42.44713286370998","-76.48448421800158","0","4","0","645","118","1604","5758","0","0","0","0"
"119","34","42.44716183206111","-76.4846749961107","0","1","0","6908","290","3409","2271","0","0","0","0"
"120","34","42.44755680830698","-76.485044667388","0","0","0","0","0","85","0","1","0","0","0"
"121","34","42.447074474280925","-76.48480751164277","0","1","0","1158","17","715","97","1","0","0","0"
"122","35","42.44663832049774","-76.48025913224156","0","3","0","0","433","2002","0","0","0","0","0"
"123","35","42.44665588007419","-76.48011644356616","0","3","0","0","0","110","0","1","0","0","0"
